method,backbone_id,seed_left,seed_right,seed_pair_identity_pct,seed_pair_diversity_pct
base,0668,42,44,77.47747747747748,22.522522522522525
base,0668,43,44,77.47747747747748,22.522522522522525
base,0690,42,43,77.41935483870968,22.580645161290324
base,0690,42,44,79.03225806451613,20.967741935483875
base,0690,43,44,70.96774193548387,29.032258064516125
base,0701,42,43,74.88479262672811,25.115207373271886
base,0701,42,44,78.11059907834101,21.889400921658986
base,0701,43,44,76.036866359447,23.963133640552993
base,0711,42,43,61.66666666666667,38.33333333333333
base,0711,42,44,68.33333333333333,31.666666666666664
base,0711,43,44,73.33333333333333,26.66666666666667
base,0713,42,43,78.26086956521739,21.739130434782606
base,0713,42,44,56.52173913043478,43.47826086956522
base,0713,43,44,50.72463768115942,49.27536231884058
base,0744,42,43,66.34146341463415,33.65853658536585
base,0744,42,44,63.41463414634146,36.58536585365854
base,0744,43,44,66.09756097560975,33.90243902439024
base,0747,42,43,61.245674740484425,38.754325259515575
base,0747,42,44,58.82352941176471,41.17647058823529
base,0747,43,44,60.207612456747405,39.792387543252595
base,0757,42,43,70.75471698113208,29.24528301886793
base,0757,42,44,63.20754716981132,36.79245283018868
base,0757,43,44,73.58490566037736,26.415094339622648
base,0763,42,43,74.74541751527495,25.254582484725052
base,0763,42,44,69.65376782077392,30.346232179226075
base,0763,43,44,70.26476578411406,29.735234215885942
base,0773,42,43,60.526315789473685,39.473684210526315
base,0773,42,44,72.10526315789474,27.89473684210526
base,0773,43,44,67.36842105263158,32.631578947368425
base,0799,42,43,72.01405152224825,27.985948477751755
base,0799,42,44,74.00468384074942,25.99531615925058
base,0799,43,44,76.46370023419203,23.536299765807968
base,0816,42,43,68.3288409703504,31.671159029649598
base,0816,42,44,70.08086253369272,29.919137466307276
base,0816,43,44,68.05929919137466,31.940700808625333
base,0824,42,43,78.83817427385893,21.161825726141082
base,0824,42,44,79.66804979253112,20.331950207468886
base,0824,43,44,77.80082987551867,22.199170124481327
base,0865,42,43,74.8888888888889,25.111111111111107
base,0865,42,44,75.1111111111111,24.888888888888893
base,0865,43,44,74.8888888888889,25.111111111111107
base,0918,42,43,84.32835820895522,15.671641791044777
base,0918,42,44,84.32835820895522,15.671641791044777
base,0918,43,44,83.5820895522388,16.417910447761198
base,0970,42,43,57.446808510638306,42.553191489361694
base,0970,42,44,75.53191489361703,24.468085106382976
base,0970,43,44,57.446808510638306,42.553191489361694
base,1031,42,43,29.92125984251969,70.07874015748031
base,1031,42,44,36.22047244094488,63.77952755905512
base,1031,43,44,65.35433070866141,34.645669291338585
base,1041,42,43,75.14851485148515,24.85148514851485
base,1041,42,44,74.95049504950495,25.04950495049505
base,1041,43,44,76.93069306930693,23.069306930693067
base,1061,42,43,75.92592592592592,24.07407407407407
base,1061,42,44,76.1574074074074,23.84259259259259
base,1061,43,44,74.07407407407408,25.92592592592593
base,1072,42,43,71.84873949579831,28.15126050420168
base,1072,42,44,73.52941176470588,26.470588235294112
base,1072,43,44,69.74789915966386,30.252100840336137
base,1136,42,43,67.88830715532286,32.111692844677144
base,1136,42,44,68.23734729493893,31.76265270506108
base,1136,43,44,69.63350785340315,30.36649214659686
